SampleId,global_thresh_status,sample_thresh_status,pct_positive_sample_scIES,pct_positive_global_scIES,scIES_mean,scIES_median,sc_stro_thresh,sc_E-S,st_author_label,st_assignment,st_stro_thresh,stIES_mean,stIES_median,st_E-S,CD8_cell_count,CD8_cell_pct
9142_s1,False,False,0.05492730210016155,0.002423263327948304,-0.2369988066341399,-0.17587939698492466,0.2292439385681016,-0.4662427452022415,False,False,0.5929432791302004,-0.20346197827329904,-0.29499999999999993,-0.7964052574034994,47,0.024466423737636647
9142_s2,False,False,0.2283834586466165,0.11466165413533835,0.0816453035855972,-0.04145728643216079,0.3751070570507989,-0.2934617534652017,True,True,0.12530851749896954,2.1840237390742443,2.2676767676767673,2.058715221575275,85,0.015263063386604415
10096_s1,False,False,0.03315068493150685,0.04821917808219178,-0.1868300406140291,-0.17273869346733672,1.0593569497504545,-1.2461869903644835,False,False,1.237080999941764,0.18085664335664334,0.032500000000000195,-1.0562243565851206,516,0.024723300273106225
10096_s2,False,True,0.3878048780487805,0.2170731707317073,0.31868488785390364,0.06909547738693468,0.20370977573317892,0.11497511212072473,False,True,0.36416414161207666,0.6330716253443527,0.38,0.268907483732276,0,0.0
10096_s3,True,True,0.5989159891598916,0.6246612466124661,3.436243434879911,1.4880653266331658,0.9657485052519452,2.4704949296279657,True,True,13.224913636529589,29.631769125683064,26.77,16.406855489153475,177,0.017147839565975587
10096_s4,False,False,0.05044319097502015,0.00789685737308622,-0.4155242368166371,-0.2814070351758794,0.3320317917185185,-0.7475560285351556,False,False,0.5929432791302004,-0.20346197827329904,-0.29499999999999993,-0.7964052574034994,743,0.05983250120792397
10180_01_s1,False,False,0.30285296269202633,0.0592538405267008,0.09737191811287617,0.04208542713567842,0.20596615827261025,-0.10859424015973408,False,True,1.1561025268881473,1.9133953587851567,1.6666666666666667,0.7572928318970094,722,0.05378026070763501
10180_01_s2,False,False,0.07066795740561471,0.018393030009680542,-0.08092860235349053,-0.11055276381909547,0.4382528528234075,-0.5191814551768981,True,True,0.6240332328470215,0.6354128286328593,0.49161073825503354,0.011379595785837804,0,0.0
10180_01_s3,False,False,0.15632754342431762,0.07444168734491315,0.007512749853485791,-0.0879396984924623,0.4242503663263939,-0.41673761647290813,True,False,0.34591893714406563,0.16526575342465752,0.040000000000000036,-0.1806531837194081,8,0.0054200542005420045
10180_01_s4,False,False,0.2979242979242979,0.2380952380952381,0.5272485749872671,0.23366834170854275,0.6606671397340077,-0.13341856474674063,True,True,1.0095672638009912,2.5442974137931036,2.26,1.5347301499921124,107,0.015457960127130887
10180_02_s1,False,False,0.13029315960912052,0.08523344191096634,0.06278849459021499,-0.0075376884422110315,0.6151946310484842,-0.5524061364582692,True,True,1.7426348946807915,5.442034229139299,4.813131313131313,3.6993993344585077,84,0.010450360786265241
10180_02_s2,False,False,0.06685236768802229,0.08774373259052924,0.018651754594700518,-0.07349246231155779,1.101842401458108,-1.0831906468634076,False,True,1.1238934134555711,2.5290704500978474,1.9,1.4051770366422762,122,0.037561576354679806
10180_02_s3,False,False,0.13141025641025642,0.11923076923076925,0.2500769069707504,0.08417085427135679,0.7860195178407224,-0.5359426108699721,True,True,5.358116659629395,14.400616903146204,12.969999999999999,9.042500243516809,291,0.021175956920390045
10180_02_s4,False,False,0.12759643916913946,0.21562809099901087,0.4476474856975292,0.1444723618090452,1.360452700288067,-0.9128052145905379,True,True,12.699623078346804,20.767523387493846,19.369999999999997,8.067900309147042,188,0.02392161852653009
10284_s1,False,False,0.05263157894736842,0.006072874493927126,-0.13654049600227874,-0.11306532663316582,0.308846403014727,-0.44538689901700573,True,True,-0.2971971956174452,-0.25051276792123883,-0.2933417085427136,0.04668442769620634,14,0.00865265760197775
10284_s2,False,True,0.3922742110990207,0.132208922742111,0.2786367911374065,0.1231155778894472,0.26794437911790203,0.010692412019504494,False,True,0.16075163928863384,1.2038659217877095,0.69,1.0431142824990756,25,0.005756389592447617
10284_s3,False,False,0.18752974773917186,0.11137553545930508,0.2431206484588577,0.02386934673366833,0.4626101066040642,-0.2194894581452065,False,False,0.336606723243188,-0.43701133631054623,-0.6799999999999999,-0.7736180595537343,136,0.01529464687359424
10284_s4,False,False,0.00037764350453172205,0.0033987915407854984,-0.3224477751294234,-0.21608040201005024,1.3855695700051625,-1.708017345134586,False,False,0.3165739657830639,-2.108701095461659,-1.7000000000000002,-2.4252750612447227,177,0.023468575974542563
